|model   |w_bit  |f bit  |f Qscheme         |groupsize|top1 acc|top5 acc|remark           |
|resnet18|4      |8      |per-channel-affine   |/        |60.666  |83.468  |                      |
|resnet18|4      |8      |per-group-affine     |4        |68.292  |88.254  |*feature channelwise  |

|model   |w_bit  |f bit  |w Qscheme            |groupsize|top1 acc|top5 acc|remark                   |
|---     |---    |---    |---                  |---      |---     |---     |---                      |
|resnet18|float32|float32| /                   |/        |69.760  |89.082  |float baseline           |
|resnet18|8      |8      |per-channel-symmetric|/        |69.552  |89.022  |                         |
|resnet18|4      |8      |per-channel-affine   |/        |60.712  |83.484  |                      |
|resnet18|4      |8      |per-group-affine     |32       |65.358  |86.334  |                      |
|resnet18|4      |8      |per-group-affine     |16       |67.006  |87.544  |                      |
|resnet18|4      |8      |per-group-affine     |8        |67.962  |87.984  |                      |
|resnet18|4      |8      |per-group-affine     |4        |68.268  |88.238  |                      |
|resnet18|4      |8      |per-group-affine     |1        |69.222  |88.762  |                      |

|model   |w_bit  |f bit  |w Qscheme            |groupsize|top1 acc|top5 acc|remark                   |
|---     |---    |---    |---                  |---      |---     |---     |---                      |
|resnet18|float32|float32| /                   |/        |69.760  |89.082  |float baseline           |
|resnet18|4      |4      |per-channel-affine   |/        |57.598  |81.224  |                       |
|resnet18|4      |4      |per-group-affine     |32       |63.366  |84.960  |                       |
|resnet18|4      |4      |per-group-affine     |16       |64.608  |85.820  |                       |
|resnet18|4      |4      |per-group-affine     |8        |65.912  |86.520  |                       |
|resnet18|4      |4      |per-group-affine     |4        |66.374  |86.906  |                       |
|resnet18|4      |4      |per-group-affine     |1        |67.392  |87.676  |                       |
|resnet18|4      |4      |per-group-affine     |1        |67.524  |87.726  |act_scales= absmax()   |
|resnet18|4      |4      |per-group-affine     |1        |67.544  |87.730  |act_scales= absmax()*10|
|resnet18|4      |4      |per-group-affine     |1        |67.526  |87.706  |act_scales= absmax()/10|



|model   |w_bit  |f bit  |w Qscheme            |groupsize|top1 acc|top5 acc|remark           |
|---     |---    |---    |---                  |---      |---     |---     |---              |
|resnet50|float32|float32| /                   |/        |76.146  |92.872  |float baseline   |
|resnet50|4      |4      |per-channel-affine   |/        |68.746  |88.706  |                       |
|resnet50|4      |4      |per-group-affine     |32       |72.048  |90.664  |                       |
|resnet50|4      |4      |per-group-affine     |16       |72.616  |90.968  |                       |
|resnet50|4      |4      |per-group-affine     |8        |72.784  |91.100  |cali size:128          |
|resnet50|4      |4      |per-group-affine     |4        |73.520  |91.586  |                       |
|resnet50|4      |4      |per-group-affine     |1        |73.236  |91.472  |                       |
|resnet50|4      |4      |per-group-affine     |1        |71.972  |90.744  |act_scales= absmax()   |
|resnet50|4      |4      |per-group-affine     |1        |71.994  |90.690  |act_scales= absmax()*10|
|resnet50|4      |4      |per-group-affine     |1        |72.016  |90.720  |act_scales= absmax()/10|

|model   |w_bit  |f bit  |w Qscheme            |groupsize|top1 acc|top5 acc|remark           |
|---     |---    |---    |---                  |---      |---     |---     |---              |
|resnet50|float32|float32| /                   |/        |76.146  |92.872  |float baseline   |
|resnet50|8      |8      |per-channel-symmetric|/        |76.008  |92.860  |                 |
|resnet50|4      |8      |per-channel-affine   |/        |72.264  |90.944  |cali size:128          |
|resnet50|4      |8      |per-group-affine     |32       |74.498  |91.970  |                       |
|resnet50|4      |8      |per-group-affine     |16       |75.116  |92.522  |                       |
|resnet50|4      |8      |per-group-affine     |8        |75.332  |92.708  |                       |
|resnet50|4      |8      |per-group-affine     |4        |75.800  |92.740  |                       |
|resnet50|4      |8      |per-group-affine     |1        |75.974  |92.842  |                       |



### scale decomp

|model   |w_bit  |f bit  |w Qscheme            |groupsize|top1 acc        |top5 acc        |Equivalent wbit       |
|---     |---    |---    |---                  |---      |---             |---             |---                   |
|resnet18|float32|float32| /                   |/        |69.760          |89.082          |32                    |
|resnet18|4      |8      |per-channel-affine   |/        |60.712          |83.484          |4.02                  |
|resnet18|4      |8      |per-group-affine     |32       |65.304(65.358)  |86.290(86.334)  |4.06(4.14)            |
|resnet18|4      |8      |per-group-affine     |16       |67.028(67.006)  |87.512(87.544)  |4.09(4.28)            |
|resnet18|4      |8      |per-group-affine     |8        |67.910(67.962)  |88.000(87.984)  |4.15(4.56)            |
|resnet18|4      |8      |per-group-affine     |4        |68.090(68.268)  |88.020(88.238)  |4.28(5.12)            |
|resnet18|4      |8      |per-group-affine     |1        |68.814(69.222)  |88.404(88.762)  |5.03(8.49)            |


|model   |w_bit  |f bit  |w Qscheme            |groupsize|top1 acc        |top5 acc        |Equivalent wbit       |
|---     |---    |---    |---                  |---      |---             |---             |---                   |
|resnet50|float32|float32| /                   |/        |76.146          |92.872          |32                    |
|resnet50|4      |8      |per-channel-affine   |/        |72.264          |90.944          |4.04                  |
|resnet50|4      |8      |per-group-affine     |32       |74.454(74.498)  |92.004(91.970)  |4.21(4.64)            |
|resnet50|4      |8      |per-group-affine     |16       |75.128(75.116)  |92.400(92.522)  |4.36(5.28)            |
|resnet50|4      |8      |per-group-affine     |8        |75.164(75.332)  |92.520(92.708)  |4.64(6.57)            |
|resnet50|4      |8      |per-group-affine     |4        |75.314(75.800)  |92.470(92.740)  |5.21(9.14)            |
|resnet50|4      |8      |per-group-affine     |1        |75.082(75.974)  |92.436(92.842)  |8.64(24.54)           |


|model   |w_bit  |f bit  |w Qscheme            |groupsize|top1 acc        |top5 acc        |Equivalent wbit       |
|---     |---    |---    |---                  |---      |---             |---             |---                   |
|resnet18|float32|float32| /                   |/        |69.760          |89.082          |32                    |
|resnet18|4      |8      |per-channel-affine   |/        |60.712          |83.484          |4.02                  |
|resnet18|4      |8      |per-group-affine     |32       |65.304(-0.054)  |86.290(-0.044)  |4.06(-0.08)           |
|resnet18|4      |8      |per-group-affine     |16       |67.028(+0.022)  |87.512(-0.032)  |4.09(-0.19)           |
|resnet18|4      |8      |per-group-affine     |8        |67.910(-0.052)  |88.000(+0.016)  |4.15(-0.41)           |
|resnet18|4      |8      |per-group-affine     |4        |68.090(-0.178)  |88.020(-0.218)  |4.28(-0.84)           |
|resnet18|4      |8      |per-group-affine     |1        |68.814(-0.408)  |88.404(-0.358)  |5.03(-3.46)           |


|model   |w_bit  |f bit  |w Qscheme            |groupsize|top1 acc        |top5 acc        |Equivalent wbit       |
|---     |---    |---    |---                  |---      |---             |---             |---                   |
|resnet50|float32|float32| /                   |/        |76.146          |92.872          |32                    |
|resnet50|4      |8      |per-channel-affine   |/        |72.264          |90.944          |4.04                  |
|resnet50|4      |8      |per-group-affine     |32       |74.454(-0.044)  |92.004(+0.034)  |4.21(-0.43)           |
|resnet50|4      |8      |per-group-affine     |16       |75.128(+0.012)  |92.400(-0.122)  |4.36(-0.92)           |
|resnet50|4      |8      |per-group-affine     |8        |75.164(-0.168)  |92.520(-0.188)  |4.64(-1.93)           |
|resnet50|4      |8      |per-group-affine     |4        |75.314(-0.486)  |92.470(-0.270)  |5.21(-3.93)           |
|resnet50|4      |8      |per-group-affine     |1        |75.082(-0.892)  |92.436(-0.406)  |8.64(-15.9)           |


### reorder
|model   |w_bit  |f bit  |w Qscheme            |groupsize|top1 acc|top5 acc|remark                |
|---     |---    |---    |---                  |---      |---     |---     |---                   |
|resnet18|4      |8      |per-group-affine     |4        |68.268  |88.238  |no reorder            |
|resnet18|4      |8      |per-group-affine     |4        |68.680  |88.454  |reorder by abs-max    |
|resnet18|4      |8      |per-group-affine     |4        |68.796  |88.524  |reorder by max        |
